Title,Artist,BPM,Duration,Duration_mins,Genre,Popularity,Danceability,Energy,Liveness,Positiveness
If It Ain't Love,Jason Derulo,129,03:23,3.38,Pop,55,50,84,34,78
Cut It,O.T. Genasis,130,03:42,3.70,Pop,59,88,67,29,23
Naked,DNCE,129,03:56,3.93,Pop,40,71,67,4,46
Hotline Bling,Drake,135,04:27,4.45,Pop,78,89,63,5,55
Tone It Down,Gucci Mane,131,03:38,3.63,Pop,47,76,66,10,59
Unconditionally,Katy Perry,129,03:48,3.80,Pop,61,40,73,21,36
Always Remember Us This Way,Lady Gaga,130,03:30,3.50,Pop,80,55,50,76,30
Outside,Calvin Harris,128,03:47,3.78,Pop,78,65,82,32,42
That's What I Like,Bruno Mars,134,03:26,3.43,Pop,83,85,56,9,86
White Iverson,Post Malone,130,04:16,4.27,Pop,77,68,56,8,31
Fake Love,Drake,134,03:30,3.50,Pop,74,93,48,18,61
Bitch Came Back,Theory of a Deadman,130,03:39,3.65,Rock,61,58,88,32,61
Born To Be My Baby,Bon Jovi,131,04:40,4.67,Rock,63,53,96,35,76
Clocks,Coldplay,131,05:07,5.12,Rock,82,58,75,18,26
Whatever It Takes,Imagine Dragons,135,03:21,3.35,Rock,80,67,66,12,56
London Calling,The Clash,134,03:20,3.33,Rock,72,65,80,8,78
Jessie's Girl,Rick Springfield,132,03:14,3.23,Rock,72,73,83,11,82
Jump,Van Halen,130,04:01,4.02,Rock,78,57,84,7,80
I'm Shipping Up To Boston,Dropkick Murphys,129,02:33,2.55,Rock,70,45,93,23,60
Good Times,All Time Low,130,03:44,3.73,Rock,54,56,89,34,20
Satellite,Rise Against,135,03:58,3.97,Rock,67,39,94,8,44
Best of You,Foo Fighters,130,04:15,4.25,Rock,76,37,94,19,37
Nothin' But A Good Time,Poison,129,03:44,3.73,Rock,70,58,97,35,53
Your Love,The Outfield,130,03:36,3.60,Rock,75,58,65,7,62
I Believe in a Thing Called Love,The Darkness,128,03:37,3.62,Rock,70,44,85,28,62
Sea Change,Thrice,135,04:45,4.75,Rock,36,68,50,13,27
Burnin' For You,Blue Öyster Cult,134,04:31,4.52,Rock,67,53,73,8,69
The Sky Is A Neighborhood,Foo Fighters,131,04:04,4.07,Rock,65,36,55,22,53
Fight For Your Right,Beastie Boys,134,03:28,3.47,Rock,70,50,86,8,42
Good Goodbye,Linkin Park,128,03:31,3.52,Rock,62,70,84,75,45
Are You Gonna Go My Way,Lenny Kravitz,129,03:31,3.52,Rock,75,62,67,33,78
Cold As Ice,Foreigner,131,03:20,3.33,Rock,70,56,61,17,51
Bottom of the Deep Blue Sea,MISSIO,133,03:51,3.85,Rock,58,57,75,10,24
Knockin' On Heaven's Door,Guns N' Roses,132,05:36,5.60,Rock,78,50,74,11,38
Bodies,Drowning Poo;,131,03:21,3.35,Rock,75,66,93,14,54
Limelight,Rush,131,04:19,4.32,Rock,66,58,85,11,79
Wish You Were Here,Avenged Sevenfold,130,05:13,5.22,Rock,55,57,57,7,29
Space Oddity,David Bowie,134,05:18,5.30,Rock,72,31,40,14,47
I Was Made For Lovin' You,KISS,128,04:31,4.52,Rock,82,77,85,7,87
Somebody to Love,Jefferson Airplane,132,02:54,2.90,Rock,70,50,58,32,65
Last Young Renegade,All Time Low,129,03:34,3.57,Rock,49,58,84,10,45
School's Out,Alice Cooper,134,03:30,3.50,Rock,69,29,75,68,35
Far Away,Nickelback,133,03:58,3.97,Rock,72,52,80,11,29
Sorry,Nothing But Thieves,128,03:34,3.57,Rock,61,67,78,13,52
Money For Nothing,Dire Straits,134,08:26,8.43,Rock,64,67,66,6,66
Fortunate Son,Creedence Clearwater Revival,133,02:20,2.33,Rock,81,64,66,15,55
I Can't Quit,The Vaccines,128,02:42,2.70,Rock,50,50,79,42,50
Fake It,Seether,132,03:13,3.22,Rock,74,61,95,5,61
Watching Over,Greta Van Fleet,133,04:27,4.45,Rock,50,40,73,10,41
